ticker,company,source_type,source_url,crawler_grade,vendor_profile,vendor_recommendation,source_fetch_skipped,source_http_status,source_final_url,source_error,archive_pages_seen,candidate_links_seen,q4_feed_candidates_seen,rss_candidates_seen,wordpress_candidates_seen,accepted_documents,rejected_candidates_checked
AMZN,Amazon.com Inc.,company_earnings_archive,https://ir.aboutamazon.com/quarterly-results/default.aspx,crawler_ready,cloudflare_challenge,Q4 fast feed adapter; no generic HTML crawl.,yes,,https://ir.aboutamazon.com/quarterly-results/default.aspx,,0,50,50,0,0,32,18
AMZN,Amazon.com Inc.,company_financial_report_archive,https://ir.aboutamazon.com/annual-reports-proxies-and-shareholder-letters/default.aspx,crawler_ready,cloudflare_challenge,Q4 fast feed adapter; no generic HTML crawl.,yes,,https://ir.aboutamazon.com/annual-reports-proxies-and-shareholder-letters/default.aspx,,0,54,54,0,0,36,18
AMZN,Amazon.com Inc.,company_presentation_archive,https://ir.aboutamazon.com/events/default.aspx,crawler_ready,cloudflare_challenge,Q4 fast feed adapter; no generic HTML crawl.,yes,,https://ir.aboutamazon.com/events/default.aspx,,0,54,54,0,0,36,18
AMZN,Amazon.com Inc.,company_press_release_archive,https://ir.aboutamazon.com/news-release/default.aspx,crawler_ready,cloudflare_challenge,Q4 fast feed adapter; no generic HTML crawl.,yes,,https://ir.aboutamazon.com/news-release/default.aspx,,0,50,50,0,0,32,18
AXP,American Express Company,company_financial_report_archive,https://ir.americanexpress.com/financials/annual-reports-and-proxy-statements/default.aspx,crawler_ready,q4_or_q4_like,Q4 fast feed adapter; no generic HTML crawl.,yes,,https://ir.americanexpress.com/financials/annual-reports-and-proxy-statements/default.aspx,,0,142,142,0,0,80,0
AXP,American Express Company,company_financial_report_archive,https://ir.americanexpress.com/investor-relations/financial-documents-and-reports/default.aspx,crawler_ready,q4_or_q4_like,Q4 fast feed adapter; no generic HTML crawl.,yes,,https://ir.americanexpress.com/investor-relations/financial-documents-and-reports/default.aspx,,0,142,142,0,0,80,0
AXP,American Express Company,company_news_archive,https://ir.americanexpress.com/news/investor-relations-news/default.aspx,crawler_ready,q4_or_q4_like,Q4 fast feed adapter; no generic HTML crawl.,yes,,https://ir.americanexpress.com/news/investor-relations-news/default.aspx,,0,142,142,0,0,80,0
AXP,American Express Company,company_presentation_archive,https://ir.americanexpress.com/events/default.aspx,crawler_ready,q4_or_q4_like,Q4 fast feed adapter; no generic HTML crawl.,yes,,https://ir.americanexpress.com/events/default.aspx,,0,142,142,0,0,80,0
AXP,American Express Company,company_presentation_archive,https://ir.americanexpress.com/news-events/events-and-presentations/default.aspx,crawler_ready,q4_or_q4_like,Q4 fast feed adapter; no generic HTML crawl.,yes,,https://ir.americanexpress.com/news-events/events-and-presentations/default.aspx,,0,142,142,0,0,80,0
AXP,American Express Company,company_press_release_archive,https://ir.americanexpress.com/news-events/press-releases/default.aspx,crawler_ready,q4_or_q4_like,Q4 fast feed adapter; no generic HTML crawl.,yes,,https://ir.americanexpress.com/news-events/press-releases/default.aspx,,0,142,142,0,0,80,0
BA,The Boeing Company,company_financial_report_archive,https://investors.boeing.com/investors/reports/,crawler_ready,q4_or_q4_like,Q4 fast feed adapter; no generic HTML crawl.,yes,,https://investors.boeing.com/investors/reports/,,0,250,250,0,0,80,5
