ticker,company,source_type,source_type_raw,url,canonical_url,coverage_note,has_dates,has_full_text,needs_js,notes,source_input_file,duplicate_input_rows,review_likely_value,review_vendor_profile,review_http_status,review_q4_years_2010_2023,crawler_grade,robots_policy,dedupe_key
AAPL,Apple Inc.,company_earnings_archive,ir_home_earnings_hub,https://investor.apple.com/investor-relations/default.aspx,https://investor.apple.com/investor-relations/default.aspx,Official Apple IR hub with current quarterly-result press releases and webcasts; use with dated pages surfaced from the hub.,yes,yes,yes,Good for current/OOS style earnings links; combine with Newsroom and SEC filings for older history.,official_ir_sources_29_dow_tickers.csv,1,medium_browser_or_vendor,q4_or_q4_like,200,,browser_or_api_needed,Use official company pages; respect robots and rate limits.,AAPL|https://investor.apple.com/investor-relations/default.aspx
AAPL,Apple Inc.,company_ir_hub,investor_relations_hub,https://investor.apple.com/,https://investor.apple.com/,Official IR hub linking to quarterly results annual reports and filings. Strong support for 2021-2023 and useful for older financial backfill.,yes,yes,no,Official Apple investor relations hub,deep_research_report_10_official_ir_sources.csv,1,medium_vendor_or_browser,q4_or_q4_like,200,,browser_or_api_needed,Use official company pages; respect robots and rate limits.,AAPL|https://investor.apple.com/
AAPL,Apple Inc.,company_press_release_archive,company_news_archive,https://www.apple.com/newsroom/archive/,https://www.apple.com/newsroom/archive/,Official Apple Newsroom archive; paginated archive includes 2010-era dated press releases and OOS-period releases. | Apple official newsroom archive with dated items and full text. Best for product and corporate news and especially useful from the mid-2010s onward.,yes,yes,no,Primary Apple source for dated full-text company/product releases. | Official company newsroom archive,deep_research_report_10_official_ir_sources.csv|official_ir_sources_29_dow_tickers.csv,2,high_static_or_wp_candidate,static_html_or_custom,200,,crawler_ready,Use official company pages; respect robots and rate limits.,AAPL|https://www.apple.com/newsroom/archive/
AAPL,Apple Inc.,company_press_release_archive,product_news_archive,https://www.apple.com/newsroom/archive/iphone/,https://www.apple.com/newsroom/archive/iphone/,Official Apple iPhone archive with dated product/company releases; useful for major product news around Train/OOS dates.,yes,yes,no,Use as supplemental Apple product-news source; not a financial-results archive.,official_ir_sources_29_dow_tickers.csv,1,high_static_candidate,static_html_or_custom,200,,crawler_ready,Use official company pages; respect robots and rate limits.,AAPL|https://www.apple.com/newsroom/archive/iphone/
AAPL,Apple Inc.,company_sec_filings_hub,sec_filings_archive,https://investor.apple.com/investor-relations/sec-filings/,https://investor.apple.com/investor-relations/sec-filings/,Official Apple SEC filings archive with dated annual and quarterly filings; useful back before 2010 and through OOS.,yes,yes,yes,Full filing documents; use accession/detail pages for stable URLs.,official_ir_sources_29_dow_tickers.csv,1,medium_duplicate_sec,cloudflare_challenge,403,,crawler_ready,Use official company pages; respect robots and rate limits.,AAPL|https://investor.apple.com/investor-relations/sec-filings/
AAPL,Apple Inc.,company_sec_filings_hub,sec_filings_archive,https://investor.apple.com/sec-filings/default.aspx,https://investor.apple.com/sec-filings/default.aspx,Official SEC filings archive for older train coverage when newsroom depth is not enough.,yes,yes,no,Good backup source for strict financial-history needs,deep_research_report_10_official_ir_sources.csv,1,medium_duplicate_sec,cloudflare_challenge,403,,crawler_ready,Use official company pages; respect robots and rate limits.,AAPL|https://investor.apple.com/sec-filings/default.aspx
AMGN,Amgen Inc.,company_earnings_archive,earnings_results_archive|quarterly_earnings,https://investors.amgen.com/financials/quarterly-earnings/,https://investors.amgen.com/financials/quarterly-earnings/,"Official Amgen quarterly earnings page with dated earnings releases, presentations and webcast links. | Official quarterly earnings hub with dated releases presentations and filings.",yes,yes,yes,Best Amgen source for earnings releases/presentations around split dates. | Good fit for earnings-event extraction,deep_research_report_10_official_ir_sources.csv|official_ir_sources_29_dow_tickers.csv,2,low_recheck,fetch_problem,,,browser_or_api_needed,Use official company pages; respect robots and rate limits.,AMGN|https://investors.amgen.com/financials/quarterly-earnings/
AMGN,Amgen Inc.,company_financial_report_archive,annual_reports,https://investors.amgen.com/financials/annual-reports/,https://investors.amgen.com/financials/annual-reports/,Official Amgen annual-report archive with dated reports and related earnings materials.,yes,yes,yes,Use for annual full text and to fill older Train-period coverage.,official_ir_sources_29_dow_tickers.csv,1,low_recheck,fetch_problem,,,browser_or_api_needed,Use official company pages; respect robots and rate limits.,AMGN|https://investors.amgen.com/financials/annual-reports/
AMGN,Amgen Inc.,company_presentation_archive,investor_presentations|investor_presentations_archive,https://investors.amgen.com/news-and-events/presentations/,https://investors.amgen.com/news-and-events/presentations/,Official Amgen presentation archive with dated earnings and investor presentations. | Official presentations archive with dated decks including earnings presentations.,yes,yes,yes,PDF presentation text is useful for earnings-event context. | Useful for slide decks and conference materials,deep_research_report_10_official_ir_sources.csv|official_ir_sources_29_dow_tickers.csv,2,low_recheck,fetch_problem,,,browser_or_api_needed,Use official company pages; respect robots and rate limits.,AMGN|https://investors.amgen.com/news-and-events/presentations/
AMGN,Amgen Inc.,company_press_release_archive,ir_press_releases|ir_press_releases_archive,https://investors.amgen.com/news-and-events/press-releases/,https://investors.amgen.com/news-and-events/press-releases/,Official Amgen IR press-release archive with dated release pages; visible archive currently emphasizes 2022 onward. | Official IR press release archive with dated release pages and full text.,yes,yes,yes,Good for OOS and recent training years; check older releases via detail search/SEC if needed. | Official IR page,deep_research_report_10_official_ir_sources.csv|official_ir_sources_29_dow_tickers.csv,2,low_recheck,fetch_problem,,,browser_or_api_needed,Use official company pages; respect robots and rate limits.,AMGN|https://investors.amgen.com/news-and-events/press-releases/
