ticker,company,source_type,url,coverage_note,has_dates,has_full_text,needs_js,_row_num,canonical_url,checked_at,http_status,fetch_status,final_url,content_type,server,sample_bytes,title_hint,date_hint_found,archive_hint_found,captcha_module_hint,hard_blocking_hint,http_error,robots_url,robots_status,robots_allowed,robots_error,crawler_grade,review_note
AAPL,Apple,company_news_archive,https://www.apple.com/newsroom/archive/,Apple official newsroom archive with dated release pages and full text,yes,yes,no,1,https://www.apple.com/newsroom/archive/,2026-05-13T09:55:34Z,200,ok,https://www.apple.com/newsroom/archive/,text/html;charset=utf-8,Apple,120000,All Topics Archive - Apple,yes,yes,no,no,,https://www.apple.com/robots.txt,200,True,,crawler_ready,Accessible to simple GET; good first-pass crawler target.
AAPL,Apple,investor_relations,https://investor.apple.com/,Apple investor relations page with investor updates and quarterly earnings links,yes,yes,yes,2,https://investor.apple.com/,2026-05-13T09:55:34Z,200,ok,https://investor.apple.com/investor-relations/default.aspx,text/html; charset=utf-8,cloudflare,120000,Investor Relations - Apple,yes,yes,no,no,,https://investor.apple.com/robots.txt,200,True,,browser_or_api_needed,"Accessible, but likely Q4/JS/captcha-module page; use browser, vendor-specific parser, sitemap, or RSS if available."
AAPL,Apple,earnings_results_archive,https://investor.apple.com/investor-relations/default.aspx,Apple IR page includes quarterly earnings reports and financial data,yes,yes,yes,3,https://investor.apple.com/investor-relations/default.aspx,2026-05-13T09:55:34Z,200,ok,https://investor.apple.com/investor-relations/default.aspx,text/html; charset=utf-8,cloudflare,120000,Investor Relations - Apple,yes,yes,no,no,,https://investor.apple.com/robots.txt,200,True,,browser_or_api_needed,"Accessible, but likely Q4/JS/captcha-module page; use browser, vendor-specific parser, sitemap, or RSS if available."
AMGN,Amgen,press_releases_archive,https://investors.amgen.com/news-and-events/press-releases/,Official Amgen investor press releases with dated full-text releases,yes,yes,no,4,https://investors.amgen.com/news-and-events/press-releases/,2026-05-13T09:55:34Z,200,ok,https://investors.amgen.com/news-and-events/press-releases/,text/html; charset=UTF-8,,120000,Press Releases | Amgen Inc.,yes,yes,no,no,,https://investors.amgen.com/robots.txt,,,TimeoutError: The read operation timed out,crawler_ready,Accessible to simple GET; good first-pass crawler target.
AMGN,Amgen,company_news_archive,https://www.amgen.com/newsroom/press-releases,Official Amgen newsroom press release archive,yes,yes,no,5,https://www.amgen.com/newsroom/press-releases,2026-05-13T09:55:34Z,200,ok,https://www.amgen.com/newsroom/press-releases,text/html; charset=utf-8,,120000,News | Amgen,yes,yes,no,no,,https://www.amgen.com/robots.txt,200,True,,crawler_ready,Accessible to simple GET; good first-pass crawler target.
AMGN,Amgen,earnings_results_archive,https://investors.amgen.com/financials/quarterly-earnings/,Amgen quarterly earnings materials and results archive,yes,yes,yes,6,https://investors.amgen.com/financials/quarterly-earnings/,2026-05-13T09:55:34Z,200,ok,https://investors.amgen.com/financials/quarterly-earnings/,text/html; charset=UTF-8,,120000,Quarterly Earnings | Amgen Inc.,yes,yes,no,no,,https://investors.amgen.com/robots.txt,,,TimeoutError: The read operation timed out,browser_or_api_needed,"Accessible, but likely Q4/JS/captcha-module page; use browser, vendor-specific parser, sitemap, or RSS if available."
AMZN,Amazon,press_releases_archive,https://ir.aboutamazon.com/news-release/default.aspx,Amazon IR news release archive with dated earnings and company releases,yes,yes,yes,7,https://ir.aboutamazon.com/news-release/default.aspx,2026-05-13T09:55:34Z,200,ok,https://ir.aboutamazon.com/news-release/default.aspx,text/html; charset=utf-8,cloudflare,32786,"Amazon.com, Inc. - News release",yes,yes,no,no,,https://ir.aboutamazon.com/robots.txt,200,True,,browser_or_api_needed,"Accessible, but likely Q4/JS/captcha-module page; use browser, vendor-specific parser, sitemap, or RSS if available."
AMZN,Amazon,company_news_archive,https://www.aboutamazon.com/news/company-news,Amazon official company news archive with dated articles,yes,yes,no,8,https://www.aboutamazon.com/news/company-news,2026-05-13T09:55:34Z,200,ok,https://www.aboutamazon.com/news/company-news,text/html; charset=utf-8,,120000,Company news,yes,yes,no,no,,https://www.aboutamazon.com/robots.txt,200,True,,crawler_ready,Accessible to simple GET; good first-pass crawler target.
AMZN,Amazon,earnings_results_archive,https://ir.aboutamazon.com/quarterly-results/default.aspx,Amazon quarterly results archive with earnings releases and financial materials,yes,yes,yes,9,https://ir.aboutamazon.com/quarterly-results/default.aspx,2026-05-13T09:55:34Z,200,ok,https://ir.aboutamazon.com/quarterly-results/default.aspx,text/html; charset=utf-8,cloudflare,36845,"Amazon.com, Inc. - Quarterly results",yes,yes,no,no,,https://ir.aboutamazon.com/robots.txt,200,True,,browser_or_api_needed,"Accessible, but likely Q4/JS/captcha-module page; use browser, vendor-specific parser, sitemap, or RSS if available."
AXP,American Express,press_releases_archive,https://ir.americanexpress.com/News/default.aspx,American Express IR news and press releases archive,yes,yes,yes,10,https://ir.americanexpress.com/News/default.aspx,2026-05-13T09:55:34Z,200,ok,https://ir.americanexpress.com/News/default.aspx,text/html; charset=utf-8,cloudflare,71451,American Express Company - News,no,yes,yes,no,,https://ir.americanexpress.com/robots.txt,200,True,,browser_or_api_needed,"Accessible, but likely Q4/JS/captcha-module page; use browser, vendor-specific parser, sitemap, or RSS if available."
