ticker,company,source_type,source_url,source_http_status,source_final_url,source_error,vendor_profile,vendor_recommendation,archive_pages_seen,candidate_links_seen,q4_feed_candidates_seen,rss_candidates_seen,wordpress_candidates_seen,source_index,accepted_documents,rejected_candidates_checked
AAPL,Apple,company_news_archive,https://www.apple.com/newsroom/archive/,200,https://www.apple.com/newsroom/archive/,,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,0,0,0,1,0,0
AAPL,Apple,investor_relations,https://investor.apple.com/,200,https://investor.apple.com/,,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,0,0,0,2,0,0
AAPL,Apple,earnings_results_archive,https://investor.apple.com/investor-relations/default.aspx,200,https://investor.apple.com/investor-relations/default.aspx,,q4_or_q4_like,Discover Q4 module/API parameters or use browser network capture to identify JSON endpoints.,0,0,0,0,0,3,0,0
AMGN,Amgen,press_releases_archive,https://investors.amgen.com/news-and-events/press-releases/,200,https://investors.amgen.com/news-and-events/press-releases/,,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,0,0,0,4,0,0
AMGN,Amgen,company_news_archive,https://www.amgen.com/newsroom/press-releases,200,https://www.amgen.com/newsroom/press-releases,,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,0,0,0,5,0,0
AMGN,Amgen,earnings_results_archive,https://investors.amgen.com/financials/quarterly-earnings/,200,https://investors.amgen.com/financials/quarterly-earnings/,,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,0,0,0,6,0,0
AMZN,Amazon,press_releases_archive,https://ir.aboutamazon.com/news-release/default.aspx,200,https://ir.aboutamazon.com/news-release/default.aspx,,q4_or_q4_like,Discover Q4 module/API parameters or use browser network capture to identify JSON endpoints.,0,5,5,0,0,7,1,0
AMZN,Amazon,company_news_archive,https://www.aboutamazon.com/news/company-news,200,https://www.aboutamazon.com/news/company-news,,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,0,0,0,8,0,0
AMZN,Amazon,earnings_results_archive,https://ir.aboutamazon.com/quarterly-results/default.aspx,200,https://ir.aboutamazon.com/quarterly-results/default.aspx,,q4_or_q4_like,Discover Q4 module/API parameters or use browser network capture to identify JSON endpoints.,0,5,5,0,0,9,1,2
AXP,American Express,press_releases_archive,https://ir.americanexpress.com/News/default.aspx,200,https://ir.americanexpress.com/News/default.aspx,,q4_or_q4_like,Discover Q4 module/API parameters or use browser network capture to identify JSON endpoints.,0,5,5,0,0,10,1,0
