ticker,company,source_type,source_type_raw,url,canonical_url,coverage_note,has_dates,has_full_text,needs_js,notes,source_input_file,duplicate_input_rows,review_likely_value,review_vendor_profile,review_http_status,review_q4_years_2010_2023,crawler_grade,robots_policy,dedupe_key
AAPL,Apple Inc.,company_press_release_archive,company_news_archive,https://www.apple.com/newsroom/archive/,https://www.apple.com/newsroom/archive/,Official Apple Newsroom archive; paginated archive includes 2010-era dated press releases and OOS-period releases. | Apple official newsroom archive with dated items and full text. Best for product and corporate news and especially useful from the mid-2010s onward.,yes,yes,no,Primary Apple source for dated full-text company/product releases. | Official company newsroom archive,deep_research_report_10_official_ir_sources.csv|official_ir_sources_29_dow_tickers.csv,2,high_static_or_wp_candidate,static_html_or_custom,200,,crawler_ready,Use official company pages; respect robots and rate limits.,AAPL|https://www.apple.com/newsroom/archive/
AAPL,Apple Inc.,company_press_release_archive,product_news_archive,https://www.apple.com/newsroom/archive/iphone/,https://www.apple.com/newsroom/archive/iphone/,Official Apple iPhone archive with dated product/company releases; useful for major product news around Train/OOS dates.,yes,yes,no,Use as supplemental Apple product-news source; not a financial-results archive.,official_ir_sources_29_dow_tickers.csv,1,high_static_candidate,static_html_or_custom,200,,crawler_ready,Use official company pages; respect robots and rate limits.,AAPL|https://www.apple.com/newsroom/archive/iphone/
BA,The Boeing Company,company_press_release_archive,company_newsroom_archive,https://boeing.mediaroom.com/news-releases-statements,https://boeing.mediaroom.com/news-releases-statements,Official Boeing MediaRoom news-release archive with dated release pages and older paginated history.,yes,yes,no,Best Boeing source for long-history press releases.,official_ir_sources_29_dow_tickers.csv,1,medium_static_duplicate,static_html_or_custom,200,,crawler_ready,Use official company pages; respect robots and rate limits.,BA|https://boeing.mediaroom.com/news-releases-statements
CRM,Salesforce Inc.,company_earnings_archive,company_earnings_archive,https://www.salesforce.com/news/topics/earnings/,https://www.salesforce.com/news/topics/earnings/,Official Salesforce News earnings-topic archive with dated earnings releases and related posts.,yes,yes,no,Useful direct earnings release feed on company domain.,official_ir_sources_29_dow_tickers.csv,1,high_static_candidate,wordpress,200,,crawler_ready,Use official company pages; respect robots and rate limits.,CRM|https://www.salesforce.com/news/topics/earnings/
CRM,Salesforce Inc.,company_press_release_archive,company_press_releases,https://www.salesforce.com/news/content-types/press-releases/,https://www.salesforce.com/news/content-types/press-releases/,Official Salesforce News press-release archive with dated full-text company releases.,yes,yes,no,Primary Salesforce company-news source.,official_ir_sources_29_dow_tickers.csv,1,high_static_candidate,wordpress,200,,crawler_ready,Use official company pages; respect robots and rate limits.,CRM|https://www.salesforce.com/news/content-types/press-releases/
CSCO,Cisco Systems Inc.,company_earnings_archive,earnings_acquisitions_news,https://newsroom.cisco.com/earningsandacquisitions,https://newsroom.cisco.com/earningsandacquisitions,Official Cisco newsroom page focused on earnings and acquisitions releases.,yes,yes,no,Useful topical feed for earnings/acquisition events.,official_ir_sources_29_dow_tickers.csv,1,high_static_candidate,static_html_or_custom,200,,crawler_ready,Use official company pages; respect robots and rate limits.,CSCO|https://newsroom.cisco.com/earningsandacquisitions
CSCO,Cisco Systems Inc.,company_press_release_archive,company_press_releases,https://newsroom.cisco.com/c/r/newsroom/en/us/press-releases.html,https://newsroom.cisco.com/c/r/newsroom/en/us/press-releases.html,Official Cisco newsroom press-release archive with dated full release pages.,yes,yes,no,Primary Cisco company-news source.,official_ir_sources_29_dow_tickers.csv,1,medium_static_duplicate,static_html_or_custom,200,,crawler_ready,Use official company pages; respect robots and rate limits.,CSCO|https://newsroom.cisco.com/c/r/newsroom/en/us/press-releases.html
DIS,The Walt Disney Company,company_press_release_archive,company_press_releases_archive,https://thewaltdisneycompany.com/press-releases/,https://thewaltdisneycompany.com/press-releases/,Official Disney corporate press-release archive with dated full release pages.,yes,yes,no,Primary Disney company-news source.,official_ir_sources_29_dow_tickers.csv,1,high_static_candidate,q4_or_q4_like,200,,crawler_ready,Use official company pages; respect robots and rate limits.,DIS|https://thewaltdisneycompany.com/press-releases/
GS,The Goldman Sachs Group Inc.,company_earnings_archive,quarterly_earnings_releases,https://www.goldmansachs.com/investor-relations/financials/quarterly-earnings-releases,https://www.goldmansachs.com/investor-relations/financials/quarterly-earnings-releases,Official Goldman Sachs quarterly earnings releases archive with dated full results releases.,yes,yes,no,Best GS earnings release source for Train/OOS windows.,official_ir_sources_29_dow_tickers.csv,1,medium_static_duplicate,static_html_or_custom,200,,crawler_ready,Use official company pages; respect robots and rate limits.,GS|https://www.goldmansachs.com/investor-relations/financials/quarterly-earnings-releases
GS,The Goldman Sachs Group Inc.,company_financial_report_archive,financial_reports_archive,https://www.goldmansachs.com/investor-relations/financials,https://www.goldmansachs.com/investor-relations/financials,Official investor financials page with earnings releases results and annual documents.,yes,yes,no,Good source for earnings-related materials,deep_research_report_10_official_ir_sources.csv,1,high_static_or_wp_candidate,static_html_or_custom,200,,crawler_ready,Use official company pages; respect robots and rate limits.,GS|https://www.goldmansachs.com/investor-relations/financials
GS,The Goldman Sachs Group Inc.,company_financial_report_archive,annual_reports,https://www.goldmansachs.com/investor-relations/financials/annual-reports,https://www.goldmansachs.com/investor-relations/financials/annual-reports,Official Goldman Sachs annual reports archive with full annual-report documents.,yes,yes,no,Long-history annual-report source; useful for 2010-era coverage.,official_ir_sources_29_dow_tickers.csv,1,high_static_candidate,static_html_or_custom,200,,crawler_ready,Use official company pages; respect robots and rate limits.,GS|https://www.goldmansachs.com/investor-relations/financials/annual-reports
GS,The Goldman Sachs Group Inc.,company_presentation_archive,investor_presentations|investor_presentations_archive,https://www.goldmansachs.com/investor-relations/presentations,https://www.goldmansachs.com/investor-relations/presentations,Official Goldman Sachs investor presentations archive with dated materials. | Official presentations page for investor materials and conference decks.,yes,yes,no,Use for investor day/conference materials and earnings context. | Official investor presentations page,deep_research_report_10_official_ir_sources.csv|official_ir_sources_29_dow_tickers.csv,2,high_static_candidate,static_html_or_custom,200,,crawler_ready,Use official company pages; respect robots and rate limits.,GS|https://www.goldmansachs.com/investor-relations/presentations
GS,The Goldman Sachs Group Inc.,company_press_release_archive,ir_press_releases_archive|pressroom_archive,https://www.goldmansachs.com/pressroom,https://www.goldmansachs.com/pressroom,Official Goldman Sachs pressroom archive with dated releases and statements. | Official Goldman Sachs pressroom with dated firm announcements and press releases.,yes,yes,no,Primary company-news source. | Official company press page,deep_research_report_10_official_ir_sources.csv|official_ir_sources_29_dow_tickers.csv,2,high_static_or_wp_candidate,static_html_or_custom,200,,crawler_ready,Use official company pages; respect robots and rate limits.,GS|https://www.goldmansachs.com/pressroom
HD,The Home Depot Inc.,company_earnings_archive,earnings_results_archive,https://ir.homedepot.com/financial-reports/quarterly-earnings/2025,https://ir.homedepot.com/financial-reports/quarterly-earnings/2025,Official quarterly earnings year page with dated quarterly releases and related materials.,yes,yes,no,Year-based earnings archive route,deep_research_report_10_official_ir_sources.csv,1,high_static_or_wp_candidate,static_html_or_custom,200,,crawler_ready,Use official company pages; respect robots and rate limits.,HD|https://ir.homedepot.com/financial-reports/quarterly-earnings/2025
