query_id,doc_id,relevance,label_source,annotator,notes
web_10y_2y_spread,official_macro_t10y2y_2023-02-10,3,assistant_review_v5,codex_assistant,review_id:review_0001 | review_reason:top_candidate|top_baseline | assistant_review_v1: direct official macro series match
web_10y_2y_spread,official_macro_t10y2y_2023-02-09,3,assistant_review_v5,codex_assistant,review_id:review_0002 | review_reason:top_candidate|top_baseline | assistant_review_v1: direct official macro series match
web_10y_2y_spread,official_macro_t10y2y_2023-01-10,3,assistant_review_v5,codex_assistant,review_id:review_0003 | review_reason:top_candidate|top_baseline | assistant_review_v1: direct official macro series match
web_10y_2y_spread,official_macro_t10y2y_2023-01-09,3,assistant_review_v5,codex_assistant,review_id:review_0004 | review_reason:top_candidate|top_baseline | assistant_review_v1: direct official macro series match
web_apple_10q,sec_aapl_10q_000032019323000006__part2_item_1a_risk_factors,3,assistant_review_v5,codex_assistant,review_id:review_0005 | review_reason:top_candidate|top_baseline | assistant_review_v1: exact 10-Q filing
web_apple_10q,sec_aapl_10q_000032019323000006__part2_item_1_legal_proceedings,3,assistant_review_v5,codex_assistant,review_id:review_0006 | review_reason:top_candidate|top_baseline | assistant_review_v1: exact 10-Q filing
web_apple_10q,sec_aapl_10q_000032019323000006__part1_item_4_controls,3,assistant_review_v5,codex_assistant,review_id:review_0007 | review_reason:top_candidate|top_baseline | assistant_review_v1: exact 10-Q filing
web_apple_10q,sec_aapl_10q_000032019323000006__part1_item_3_market_risk,3,assistant_review_v5,codex_assistant,review_id:review_0008 | review_reason:top_candidate|top_baseline | assistant_review_v1: exact 10-Q filing
web_apple_filings,sec_aapl_10q_000032019323000006__part2_item_1a_risk_factors,3,assistant_review_v5,codex_assistant,review_id:review_0009 | review_reason:top_candidate|top_baseline | assistant_review_v1: same issuer SEC filing
web_apple_filings,sec_aapl_10q_000032019323000006__part2_item_1_legal_proceedings,3,assistant_review_v5,codex_assistant,review_id:review_0010 | review_reason:top_candidate|top_baseline | assistant_review_v1: same issuer SEC filing
web_apple_filings,sec_aapl_10q_000032019323000006__part1_item_4_controls,3,assistant_review_v5,codex_assistant,review_id:review_0011 | review_reason:top_candidate|top_baseline | assistant_review_v1: same issuer SEC filing
web_apple_filings,sec_aapl_10q_000032019323000006__part1_item_3_market_risk,3,assistant_review_v5,codex_assistant,review_id:review_0012 | review_reason:top_candidate|top_baseline | assistant_review_v1: same issuer SEC filing
web_apple_guidance,company_aapl_94c44921da39c4f1,3,human_spotcheck_v1,user_chat,review_id:review_0013 | review_reason:top_candidate|rank_changed | assistant_review_v1: same company event source but weak earnings/guidance match | human_spotcheck_v1: Product launch is useful Apple demand/earnings evidence in broad analyst sense.
web_apple_guidance,company_aapl_c13b519126e77b95,3,human_spotcheck_v1,user_chat,review_id:review_0014 | review_reason:top_candidate|rank_changed | assistant_review_v1: same company event source but weak earnings/guidance match | human_spotcheck_v1: Product launch is useful Apple demand/earnings evidence in broad analyst sense.
web_apple_guidance,company_aapl_2027751830a6e378,1,human_spotcheck_v4,user_chat,"review_id:review_0015 | review_reason:top_candidate|rank_changed | Weak fallback only, human spot-check label from chat."
web_apple_guidance,sec_aapl_10q_000032019323000006__part1_item_2_mda,3,assistant_review_v5,codex_assistant,review_id:review_0016 | review_reason:top_candidate|top_baseline|borderline_label|possible_false_positive | assistant_review_v1: same company earnings/guidance evidence
web_apple_guidance,sec_aapl_10q_000032019323000006__part1_item_1_financial_statements,2,assistant_review_v5,codex_assistant,review_id:review_0017 | review_reason:top_candidate|top_baseline|borderline_label|possible_false_positive | assistant_review_v1: same company financial context for guidance query
web_apple_risk,sec_csco_8k_000119312523040212__exhibit_99_1,0,human_spotcheck_v1,user_chat,review_id:review_0018 | review_reason:top_candidate|top_baseline|borderline_label|possible_false_positive|weak_query | assistant_review_v1: wrong company for risk query | human_spotcheck_v1: Wrong company for Apple risk factors; should not satisfy Apple-specific risk query.
web_apple_risk,sec_cat_10k_000001823023000011__item_7_mda,0,assistant_review_v5,codex_assistant,review_id:review_0019 | review_reason:top_candidate|top_baseline|borderline_label|possible_false_positive|weak_query | assistant_review_v1: wrong company for risk query
web_apple_risk,sec_aapl_8k_000032019323000005__exhibit_99_1,1,assistant_review_v5,codex_assistant,review_id:review_0020 | review_reason:top_candidate|top_baseline|weak_query | assistant_review_v1: target-company document with weak risk match
web_apple_risk,official_macro_t10y2y_2023-02-27,0,assistant_review_v5,codex_assistant,review_id:review_0021 | review_reason:top_baseline|rank_changed|weak_query | assistant_review_v1: wrong company for risk query
web_apple_risk,official_macro_t10y2y_2023-02-23,0,assistant_review_v5,codex_assistant,review_id:review_0022 | review_reason:top_baseline|rank_changed|weak_query | assistant_review_v1: wrong company for risk query
web_apple_risk,sec_hon_8k_000077384023000004__exhibit_99,0,assistant_review_v5,codex_assistant,review_id:review_0023 | review_reason:top_candidate|top_baseline|borderline_label|possible_false_positive|weak_query | assistant_review_v1: wrong company for risk query
web_apple_risk,sec_mrk_8k_000110465923009552__exhibit_99_1,0,assistant_review_v5,codex_assistant,review_id:review_0024 | review_reason:top_candidate|borderline_label|possible_false_positive|weak_query | assistant_review_v1: wrong company for risk query
web_banks_credit_cycle,sec_gs_8k_000119312523052354__exhibit_99_1,1,human_spotcheck_v1,user_chat,review_id:review_0025 | review_reason:top_candidate|top_baseline|borderline_label|possible_false_positive|weak_query | assistant_review_v1: not bank credit-cycle evidence | human_spotcheck_v1: Bank document but not direct macro bank credit-cycle data; weak fallback only.
web_banks_credit_cycle,company_ba_86dafb9460fb0d10,0,assistant_review_v5,codex_assistant,review_id:review_0026 | review_reason:top_candidate|top_baseline|borderline_label|possible_false_positive|weak_query | assistant_review_v1: not bank credit-cycle evidence
web_banks_credit_cycle,sec_ibm_10k_000155837023002376__item_1a_risk_factors,0,assistant_review_v5,codex_assistant,review_id:review_0027 | review_reason:top_candidate|top_baseline|borderline_label|possible_false_positive|weak_query | assistant_review_v1: not bank credit-cycle evidence
web_banks_credit_cycle,sec_ibm_10k_000155837023002376__item_1_business,0,assistant_review_v5,codex_assistant,review_id:review_0028 | review_reason:top_candidate|top_baseline|borderline_label|possible_false_positive|weak_query | assistant_review_v1: not bank credit-cycle evidence
web_boeing_supply_chain,sec_cat_10k_000001823023000011__item_7_mda,0,assistant_review_v5,codex_assistant,review_id:review_0029 | review_reason:top_candidate|top_baseline|borderline_label|possible_false_positive|weak_query | assistant_review_v1: wrong company for risk query
web_boeing_supply_chain,sec_csco_8k_000119312523040212__exhibit_99_1,0,assistant_review_v5,codex_assistant,review_id:review_0030 | review_reason:top_candidate|top_baseline|borderline_label|possible_false_positive|weak_query | assistant_review_v1: wrong company for risk query
web_boeing_supply_chain,sec_hon_8k_000077384023000004__exhibit_99,0,assistant_review_v5,codex_assistant,review_id:review_0031 | review_reason:top_candidate|top_baseline|borderline_label|possible_false_positive|weak_query | assistant_review_v1: wrong company for risk query
web_boeing_supply_chain,official_macro_t10y2y_2023-02-27,0,assistant_review_v5,codex_assistant,review_id:review_0032 | review_reason:top_baseline|rank_changed|weak_query | assistant_review_v1: wrong company for risk query
web_boeing_supply_chain,official_macro_t10y2y_2023-02-23,0,assistant_review_v5,codex_assistant,review_id:review_0033 | review_reason:top_baseline|rank_changed|weak_query | assistant_review_v1: wrong company for risk query
web_boeing_supply_chain,sec_mrk_8k_000110465923009552__exhibit_99_1,0,assistant_review_v5,codex_assistant,review_id:review_0034 | review_reason:top_candidate|top_baseline|borderline_label|possible_false_positive|weak_query | assistant_review_v1: wrong company for risk query
web_chevron_energy,sec_cvx_10k_000009341023000009__item_1a_risk_factors,3,human_spotcheck_v1,user_chat,review_id:review_0035 | review_reason:top_candidate|top_baseline | assistant_review_v1: target-company macro-sensitive evidence | human_spotcheck_v1: Chevron Item 1A risk factors are directly useful for energy-demand risk context.
web_chevron_energy,sec_cvx_10k_000009341023000009__item_1_business,2,assistant_review_v5,codex_assistant,review_id:review_0036 | review_reason:top_candidate|top_baseline | assistant_review_v1: target-company source with indirect macro exposure
web_chevron_energy,sec_cvx_10k_000009341023000009__item_7a_market_risk,2,assistant_review_v5,codex_assistant,review_id:review_0037 | review_reason:top_candidate|top_baseline | assistant_review_v1: target-company source with indirect macro exposure
