ticker,company,source_type,url,crawler_grade,vendor_profile,vendor_recommendation,accepted_documents,candidate_links_seen,source_http_status,priority
AAPL,Apple,company_news_archive,https://www.apple.com/newsroom/archive/,crawler_ready,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,200,medium_source_specific_adapter
AAPL,Apple,investor_relations,https://investor.apple.com/,browser_or_api_needed,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,200,medium_source_specific_adapter
AAPL,Apple,earnings_results_archive,https://investor.apple.com/investor-relations/default.aspx,browser_or_api_needed,q4_or_q4_like,Discover Q4 module/API parameters or use browser network capture to identify JSON endpoints.,0,0,200,high_vendor_api_adapter
AMGN,Amgen,press_releases_archive,https://investors.amgen.com/news-and-events/press-releases/,crawler_ready,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,200,medium_source_specific_adapter
AMGN,Amgen,company_news_archive,https://www.amgen.com/newsroom/press-releases,crawler_ready,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,200,medium_source_specific_adapter
AMGN,Amgen,earnings_results_archive,https://investors.amgen.com/financials/quarterly-earnings/,browser_or_api_needed,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,200,medium_source_specific_adapter
AMZN,Amazon,press_releases_archive,https://ir.aboutamazon.com/news-release/default.aspx,browser_or_api_needed,q4_or_q4_like,Discover Q4 module/API parameters or use browser network capture to identify JSON endpoints.,1,5,200,low_already_has_generic_yield
AMZN,Amazon,company_news_archive,https://www.aboutamazon.com/news/company-news,crawler_ready,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,200,medium_source_specific_adapter
AMZN,Amazon,earnings_results_archive,https://ir.aboutamazon.com/quarterly-results/default.aspx,browser_or_api_needed,q4_or_q4_like,Discover Q4 module/API parameters or use browser network capture to identify JSON endpoints.,1,5,200,low_already_has_generic_yield
AXP,American Express,press_releases_archive,https://ir.americanexpress.com/News/default.aspx,browser_or_api_needed,q4_or_q4_like,Discover Q4 module/API parameters or use browser network capture to identify JSON endpoints.,1,5,200,low_already_has_generic_yield
