review_id,query_id,doc_id,human_relevance,label_source,annotator,notes,title
review_0013,web_apple_guidance,company_aapl_94c44921da39c4f1,3,human_spotcheck_v1,user_chat,Product launch is useful Apple demand/earnings evidence in broad analyst sense.,Apple announces the new iPhone SE: a powerful smartphone in an iconic design - Apple
review_0014,web_apple_guidance,company_aapl_c13b519126e77b95,3,human_spotcheck_v1,user_chat,Product launch is useful Apple demand/earnings evidence in broad analyst sense.,Apple announces iPhone 12 and iPhone 12 mini: A new era for iPhone with 5G - Apple
review_0018,web_apple_risk,sec_csco_8k_000119312523040212__exhibit_99_1,0,human_spotcheck_v1,user_chat,Wrong company for Apple risk factors; should not satisfy Apple-specific risk query.,"CISCO SYSTEMS, INC. 8-K filing filed 2023-02-15 - Exhibit 99.1 Earnings Release / Investor Material"
review_0025,web_banks_credit_cycle,sec_gs_8k_000119312523052354__exhibit_99_1,1,human_spotcheck_v1,user_chat,Bank document but not direct macro bank credit-cycle data; weak fallback only.,GOLDMAN SACHS GROUP INC 8-K filing filed 2023-02-28 - Exhibit 99.1 Earnings Release / Investor Material
review_0035,web_chevron_energy,sec_cvx_10k_000009341023000009__item_1a_risk_factors,3,human_spotcheck_v1,user_chat,Chevron Item 1A risk factors are directly useful for energy-demand risk context.,CHEVRON CORP 10-K filing filed 2023-02-23 - Item 1A Risk Factors
review_0039,web_consumer_demand,official_macro_t10y2y_2023-02-27,3,human_spotcheck_v1,user_chat,Yield-curve stress is useful macro evidence for consumer-demand risk.,Official US macro release: 10-Year Minus 2-Year Treasury Spread on 2023-02-27
review_0046,web_earnings_risk,official_macro_t10y2y_2023-02-27,3,human_spotcheck_v1,user_chat,Yield-curve stress is useful macro evidence for earnings risk appetite.,Official US macro release: 10-Year Minus 2-Year Treasury Spread on 2023-02-27
review_0274,web_apple_risk,sec_aapl_8k_000032019319000002__exhibit_99_112,1,human_spotcheck_v1,user_chat,Apple evidence but not Item 1A Risk Factors; weak fallback only.,Apple Inc. 8-K filing filed 2019-01-02 - Exhibit 99.112 Earnings Release / Investor Material
review_0275,web_banks_credit_cycle,sec_crm_10q_000110852421000047__part2_item_1a_risk_factors,0,human_spotcheck_v1,user_chat,Salesforce is wrong sector/company for banks credit cycle.,"Salesforce, Inc. 10-Q filing filed 2021-08-27 - Item 1A RISK FACTORS"
review_0277,web_chevron_energy,sec_cvx_10k_000095012310016846__item_1a_risk_factors,3,human_spotcheck_v1,user_chat,"Chevron Item 1A risk factors are directly useful, despite older date.",CHEVRON CORP 10-K filing filed 2010-02-25 - Item 1A Risk
