ticker,company,source_type,url,crawler_grade,vendor_profile,vendor_recommendation,accepted_documents,candidate_links_seen,source_http_status,priority
AMZN,Amazon,press_releases_archive,https://ir.aboutamazon.com/news-release/default.aspx,browser_or_api_needed,cloudflare_challenge,Prefer alternate official endpoint; otherwise use manual/browser pass without attempting bypass.,2,5,403,low_already_has_generic_yield
AMZN,Amazon,company_news_archive,https://www.aboutamazon.com/news/company-news,crawler_ready,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,8,200,medium_source_specific_adapter
AMZN,Amazon,earnings_results_archive,https://ir.aboutamazon.com/quarterly-results/default.aspx,browser_or_api_needed,cloudflare_challenge,Prefer alternate official endpoint; otherwise use manual/browser pass without attempting bypass.,1,5,403,low_already_has_generic_yield
AXP,American Express,press_releases_archive,https://ir.americanexpress.com/News/default.aspx,browser_or_api_needed,q4_or_q4_like,Discover Q4 module/API parameters or use browser network capture to identify JSON endpoints.,2,8,200,low_already_has_generic_yield
AXP,American Express,company_news_archive,https://about.americanexpress.com/newsroom/default.aspx,browser_or_api_needed,q4_or_q4_like,Discover Q4 module/API parameters or use browser network capture to identify JSON endpoints.,0,0,200,high_vendor_api_adapter
AXP,American Express,earnings_results_archive,https://ir.americanexpress.com/financials/,browser_or_api_needed,q4_or_q4_like,Discover Q4 module/API parameters or use browser network capture to identify JSON endpoints.,2,8,200,low_already_has_generic_yield
CRM,Salesforce,press_releases_archive,https://investor.salesforce.com/news/default.aspx,browser_or_api_needed,q4_or_q4_like,Discover Q4 module/API parameters or use browser network capture to identify JSON endpoints.,2,13,200,low_already_has_generic_yield
CRM,Salesforce,earnings_results_archive,https://investor.salesforce.com/financials/quarterly-results/default.aspx,browser_or_api_needed,cloudflare_challenge,Prefer alternate official endpoint; otherwise use manual/browser pass without attempting bypass.,2,5,403,low_already_has_generic_yield
CSCO,Cisco,press_releases_archive,https://investor.cisco.com/news/default.aspx,browser_or_api_needed,q4_or_q4_like,Discover Q4 module/API parameters or use browser network capture to identify JSON endpoints.,2,8,200,low_already_has_generic_yield
CSCO,Cisco,company_news_archive,https://newsroom.cisco.com/c/r/newsroom/en/us/press-releases.html,browser_or_api_needed,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,8,200,medium_source_specific_adapter
CSCO,Cisco,earnings_results_archive,https://investor.cisco.com/financials/quarterly-results/default.aspx,browser_or_api_needed,cloudflare_challenge,Prefer alternate official endpoint; otherwise use manual/browser pass without attempting bypass.,2,5,403,low_already_has_generic_yield
