ticker,company,source_type,source_url,source_http_status,source_final_url,source_error,vendor_profile,vendor_recommendation,archive_pages_seen,candidate_links_seen,q4_feed_candidates_seen,rss_candidates_seen,wordpress_candidates_seen,source_index,accepted_documents,rejected_candidates_checked
AMZN,Amazon,press_releases_archive,https://ir.aboutamazon.com/news-release/default.aspx,403,https://ir.aboutamazon.com/news-release/default.aspx,,cloudflare_challenge,Prefer alternate official endpoint; otherwise use manual/browser pass without attempting bypass.,0,0,0,0,0,1,0,0
AMZN,Amazon,company_news_archive,https://www.aboutamazon.com/news/company-news,200,https://www.aboutamazon.com/news/company-news,,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,4,9,0,0,0,2,0,9
AMZN,Amazon,earnings_results_archive,https://ir.aboutamazon.com/quarterly-results/default.aspx,403,https://ir.aboutamazon.com/quarterly-results/default.aspx,,cloudflare_challenge,Prefer alternate official endpoint; otherwise use manual/browser pass without attempting bypass.,0,0,0,0,0,3,0,0
AXP,American Express,press_releases_archive,https://ir.americanexpress.com/News/default.aspx,200,https://ir.americanexpress.com/News/default.aspx,,q4_or_q4_like,Discover Q4 module/API parameters or use browser network capture to identify JSON endpoints.,0,12,12,0,0,4,3,0
AXP,American Express,company_news_archive,https://about.americanexpress.com/newsroom/default.aspx,200,https://www.americanexpress.com/en-us/newsroom/,,q4_or_q4_like,Discover Q4 module/API parameters or use browser network capture to identify JSON endpoints.,4,0,0,0,0,5,0,0
AXP,American Express,earnings_results_archive,https://ir.americanexpress.com/financials/,200,https://ir.americanexpress.com/financials/,,q4_or_q4_like,Discover Q4 module/API parameters or use browser network capture to identify JSON endpoints.,0,12,12,0,0,6,3,3
CRM,Salesforce,press_releases_archive,https://investor.salesforce.com/news/default.aspx,200,https://investor.salesforce.com/news/default.aspx,,q4_or_q4_like,Discover Q4 module/API parameters or use browser network capture to identify JSON endpoints.,0,24,12,0,12,7,3,0
CRM,Salesforce,earnings_results_archive,https://investor.salesforce.com/financials/quarterly-results/default.aspx,403,https://investor.salesforce.com/financials/quarterly-results/default.aspx,,cloudflare_challenge,Prefer alternate official endpoint; otherwise use manual/browser pass without attempting bypass.,0,12,12,0,0,8,3,3
CSCO,Cisco,press_releases_archive,https://investor.cisco.com/news/default.aspx,200,https://investor.cisco.com/news/default.aspx,,q4_or_q4_like,Discover Q4 module/API parameters or use browser network capture to identify JSON endpoints.,0,12,12,0,0,9,3,0
CSCO,Cisco,company_news_archive,https://newsroom.cisco.com/c/r/newsroom/en/us/press-releases.html,200,https://newsroom.cisco.com/c/r/newsroom/en/us/press-releases.html,,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,1,12,0,0,0,10,0,12
CSCO,Cisco,earnings_results_archive,https://investor.cisco.com/financials/quarterly-results/default.aspx,403,https://investor.cisco.com/financials/quarterly-results/default.aspx,,cloudflare_challenge,Prefer alternate official endpoint; otherwise use manual/browser pass without attempting bypass.,0,12,12,0,0,11,3,3
