spotcheck_id,query_id,doc_id,human_relevance,label_source,annotator,notes,title
spot_0001,web_earnings_risk,official_macro_t10y2y_2023-02-23,3,human_spotcheck_v3,user_chat,Highly relevant human spot-check label from chat.,Official US macro release: 10-Year Minus 2-Year Treasury Spread on 2023-02-23
spot_0002,web_earnings_risk,official_macro_t10y2y_2023-02-22,3,human_spotcheck_v3,user_chat,Highly relevant human spot-check label from chat.,Official US macro release: 10-Year Minus 2-Year Treasury Spread on 2023-02-22
spot_0003,web_earnings_risk,official_macro_t10y2y_2023-02-21,3,human_spotcheck_v3,user_chat,Highly relevant human spot-check label from chat.,Official US macro release: 10-Year Minus 2-Year Treasury Spread on 2023-02-21
spot_0004,web_earnings_risk,official_macro_t10y2y_2023-02-16,3,human_spotcheck_v3,user_chat,Highly relevant human spot-check label from chat.,Official US macro release: 10-Year Minus 2-Year Treasury Spread on 2023-02-16
spot_0005,web_chevron_energy,sec_cvx_10q_000009341020000039__part1_item_2_mda,3,human_spotcheck_v3,user_chat,Highly relevant human spot-check label from chat.,CHEVRON CORP 10-Q filing filed 2020-08-05 - Item 2 Management’s Discussion and Analysis of Financial Condition and Results of Operations
spot_0006,web_chevron_energy,sec_cvx_10q_000009341020000039__part1_item_1_financial_statements,2,human_spotcheck_v3,user_chat,"Useful but not the strongest possible match, human spot-check label from chat.",CHEVRON CORP 10-Q filing filed 2020-08-05 - Item 1 Consolidated Financial Statements
spot_0007,web_chevron_energy,sec_cvx_10q_000009341020000039__part2_item_1_legal_proceedings,2,human_spotcheck_v3,user_chat,"Useful but not the strongest possible match, human spot-check label from chat.",CHEVRON CORP 10-Q filing filed 2020-08-05 - Item 1 Legal Proceedings
spot_0008,web_chevron_energy,sec_cvx_10q_000009341020000039__part1_item_4_controls,2,human_spotcheck_v3,user_chat,"Useful but not the strongest possible match, human spot-check label from chat.",CHEVRON CORP 10-Q filing filed 2020-08-05 - Item 4 Controls and Procedures
spot_0009,web_consumer_demand,official_macro_t10y2y_2023-02-23,3,human_spotcheck_v3,user_chat,Highly relevant human spot-check label from chat.,Official US macro release: 10-Year Minus 2-Year Treasury Spread on 2023-02-23
spot_0010,web_consumer_demand,official_macro_t10y2y_2023-02-22,3,human_spotcheck_v3,user_chat,Highly relevant human spot-check label from chat.,Official US macro release: 10-Year Minus 2-Year Treasury Spread on 2023-02-22
spot_0011,web_apple_guidance,sec_aapl_8k_000032019319000002__item_2_02_results_operations_financial_condition,3,human_spotcheck_v3,user_chat,Highly relevant human spot-check label from chat.,Apple Inc. 8-K filing filed 2019-01-02 - Item 2.02 Results of Operations and Financial Condition
spot_0012,web_consumer_demand,official_macro_t10y2y_2023-02-21,3,human_spotcheck_v3,user_chat,Highly relevant human spot-check label from chat.,Official US macro release: 10-Year Minus 2-Year Treasury Spread on 2023-02-21
spot_0013,web_consumer_demand,official_macro_t10y2y_2023-02-16,3,human_spotcheck_v3,user_chat,Highly relevant human spot-check label from chat.,Official US macro release: 10-Year Minus 2-Year Treasury Spread on 2023-02-16
spot_0014,web_apple_guidance,sec_aapl_8k_000032019319000002__item_9_01_financial_statements_exhibits,1,human_spotcheck_v3,user_chat,"Weak fallback only, human spot-check label from chat.",Apple Inc. 8-K filing filed 2019-01-02 - Item 9.01 Financial Statements and Exhibits
spot_0015,web_apple_guidance,sec_aapl_8k_000032019319000117__item_9_01_financial_statements_exhibits,1,human_spotcheck_v3,user_chat,"Weak fallback only, human spot-check label from chat.",Apple Inc. 8-K filing filed 2019-10-30 - Item 9.01 Financial Statements and Exhibits
