source_registry_id,name,base_url,source_type,source_reliability_tier,robots_policy,content_license_note,source_credibility,preferred_for_v1,authority_score,timeliness_score,legal_liability_score,numeric_density_score,promotion_risk_score,fetch_method,update_frequency,point_in_time_policy,preferred_endpoints,documentation_url,coverage_scope,notes
sec_edgar,SEC EDGAR,https://www.sec.gov/,sec_filing,official,Use SEC APIs and EDGAR fair-access policy with declared User-Agent and <=10 requests/sec.,US government filings are public; preserve accession URL and filing metadata.,0.95,true,0.98,0.85,0.95,0.90,0.10,api/rss/html,daily,available_at is SEC acceptance time or first crawler observation if acceptance is missing,https://data.sec.gov/submissions/; https://www.sec.gov/Archives/edgar/,https://www.sec.gov/search-filings/edgar-application-programming-interfaces,US public company filings and exhibits,Primary PIT source for US public-company disclosures.
sec_companyfacts,SEC Companyfacts API,https://data.sec.gov/,structured_fundamentals,official,Use SEC API access patterns with descriptive User-Agent and local cache.,Public government API; cache full JSON responses for reproducibility.,0.95,true,0.98,0.80,0.95,0.98,0.08,api,periodic,available_at is API retrieval time unless filing acceptance timestamp is linked,https://data.sec.gov/api/xbrl/companyfacts/,https://www.sec.gov/search-filings/edgar-application-programming-interfaces,Structured XBRL facts for US public companies,Best source for fundamentals and chart extraction when linked back to filings.
federal_reserve,Federal Reserve Board,https://www.federalreserve.gov/,macro_official,official,Prefer official DDP downloads and RSS pages where available.,Public central-bank releases; preserve release timestamp and vintage where available.,0.90,true,0.95,0.85,0.90,0.85,0.08,api/csv/rss,event,available_at is release timestamp or first crawler observation,https://www.federalreserve.gov/datadownload/,https://www.federalreserve.gov/datadownload/,Federal Reserve statistical releases and policy data,Rates policy and monetary conditions.
fred,FRED API,https://fred.stlouisfed.org/,macro_official,official,Use FRED API and cache observations plus realtime_start/realtime_end vintages.,Public macro series; document vintage and retrieval date.,0.90,true,0.92,0.88,0.85,0.95,0.08,api,daily,available_at is FRED realtime_start or retrieval date when no vintage is used,https://api.stlouisfed.org/fred/series/observations,https://fred.stlouisfed.org/docs/api/fred/,US macro and financial time series backbone,Use for yield curve rates spreads inflation and macro indicators.
bls,Bureau of Labor Statistics,https://www.bls.gov/,macro_official,official,Use public BLS API and release calendar; avoid scraping dynamic pages.,Public labor and inflation releases; preserve release schedule timestamp.,0.90,true,0.92,0.80,0.90,0.90,0.08,api/csv,monthly,available_at is official release time or API retrieval time for historical backfill,https://api.bls.gov/publicAPI/v2/timeseries/data/,https://www.bls.gov/bls/api_features.htm,Labor inflation wages employment and prices,Use for CPI payrolls unemployment wages and PPI.
bea,Bureau of Economic Analysis,https://www.bea.gov/,macro_official,official,Use BEA API with registered key and metadata endpoints.,Public national accounts data; preserve release timestamp and revision vintage.,0.90,true,0.92,0.75,0.90,0.95,0.08,api,monthly/quarterly,available_at is official release time or API retrieval time for historical backfill,https://apps.bea.gov/api/data/,https://www.bea.gov/resources/for-developers,National accounts GDP PCE income profits and trade,Use for economic activity and corporate profits context.
treasury_us,U.S. Treasury Fiscal Data,https://fiscaldata.treasury.gov/,macro_official,official,Prefer Fiscal Data API and official CSV downloads.,Public Treasury data; preserve dataset date and endpoint metadata.,0.90,true,0.92,0.85,0.88,0.92,0.08,api/csv,daily/monthly,available_at is dataset date plus retrieval timestamp,https://api.fiscaldata.treasury.gov/services/api/fiscal_service/,https://fiscaldata.treasury.gov/api-documentation/,Debt interest rates fiscal and Treasury datasets,Use for fiscal debt and Treasury context.
ny_fed_markets,New York Fed Markets Data,https://markets.newyorkfed.org/,macro_official,official,Use published Markets Data APIs and cache responses.,Public central-bank market operations data; preserve operation date and retrieval date.,0.88,true,0.90,0.85,0.88,0.90,0.08,api,daily,available_at is operation date or retrieval timestamp for historical backfill,https://markets.newyorkfed.org/api/,https://markets.newyorkfed.org/static/docs/markets-api.html,Market operations rates and liquidity facilities,Use for funding and market plumbing evidence.
eia,U.S. Energy Information Administration,https://www.eia.gov/,macro_official,official,Use EIA API v2 and official downloads; cache series metadata.,Public energy data; preserve series date and retrieval timestamp.,0.85,true,0.90,0.80,0.85,0.92,0.08,api,weekly/monthly,available_at is series release date or retrieval timestamp,https://api.eia.gov/v2/,https://www.eia.gov/opendata/documentation.php,Energy prices inventories production and demand,Use for oil energy and sector stress context.
census,Census Bureau,https://www.census.gov/,macro_official,official,Use Census APIs or official downloadable tables.,Public housing retail trade manufacturing and demographic data.,0.85,true,0.88,0.75,0.85,0.88,0.08,api/csv,monthly/quarterly,available_at is release date or retrieval timestamp,https://api.census.gov/data.html,https://www.census.gov/data/developers.html,Housing retail manufacturing trade and demographics,Use for cyclicals housing and demand context.
company_ir,Company Investor Relations,https://example.com/company-ir,company_ir,company,Use official company pages feeds and sitemaps only; check robots per issuer.,Issuer material; keep URL publish time revision hash and original page snapshot.,0.80,true,0.75,0.70,0.60,0.65,0.35,rss/sitemap/html,event,available_at is first crawler observation unless page exposes reliable publish timestamp,issuer-specific feeds; sitemaps; newsroom pages,https://developers.google.com/search/docs/crawling-indexing/robots/intro,Official issuer IR releases presentations reports and archives,Useful but promotion risk is higher than SEC filings.
favorite_user_site,User Favorite Website,https://example.com/,favorite_site,user_preferred,User URLs require health checks and source labels before corpus use.,License varies by site; never assume redistribution rights.,0.50,false,0.40,0.50,0.20,0.35,0.55,html,unknown,available_at is first crawler observation only,user-provided URL,https://developers.google.com/search/docs/crawling-indexing/robots/intro,User-selected sites and watchlist pages,Favorite status changes display priority but not credibility.
