ticker,company,source_type,url,coverage_note,has_dates,has_full_text,needs_js,notes
"AAPL","Apple Inc.","company_news_archive","https://www.apple.com/newsroom/archive/","Apple official newsroom archive with dated items and full text. Best for product and corporate news and especially useful from the mid-2010s onward.","yes","yes","no","Official company newsroom archive"
"AAPL","Apple Inc.","investor_relations_hub","https://investor.apple.com/","Official IR hub linking to quarterly results annual reports and filings. Strong support for 2021-2023 and useful for older financial backfill.","yes","yes","no","Official Apple investor relations hub"
"AAPL","Apple Inc.","sec_filings_archive","https://investor.apple.com/sec-filings/default.aspx","Official SEC filings archive for older train coverage when newsroom depth is not enough.","yes","yes","no","Good backup source for strict financial-history needs"
"AMGN","Amgen Inc.","ir_press_releases_archive","https://investors.amgen.com/news-and-events/press-releases/","Official IR press release archive with dated release pages and full text.","yes","yes","no","Official IR page"
"AMGN","Amgen Inc.","earnings_results_archive","https://investors.amgen.com/financials/quarterly-earnings/","Official quarterly earnings hub with dated releases presentations and filings.","yes","yes","no","Good fit for earnings-event extraction"
"AMGN","Amgen Inc.","investor_presentations_archive","https://investors.amgen.com/news-and-events/presentations/","Official presentations archive with dated decks including earnings presentations.","yes","yes","no","Useful for slide decks and conference materials"
"AMZN","Amazon.com Inc.","ir_press_releases_archive","https://ir.aboutamazon.com/news-release/default.aspx","Official Amazon IR press release archive with dated release detail pages. Useful for corporate and financial event history.","yes","yes","yes","Official IR provider page and JS-driven list"
"AMZN","Amazon.com Inc.","earnings_results_archive","https://ir.aboutamazon.com/quarterly-results/default.aspx","Official quarterly results hub with dated earnings materials and historical quarters.","yes","yes","yes","Official IR provider page and JS-driven list"
"AMZN","Amazon.com Inc.","annual_reports_archive","https://ir.aboutamazon.com/annual-reports-proxies-and-shareholder-letters/default.aspx","Official annual reports proxy statements and shareholder letters archive. Useful backup for older train years.","yes","yes","yes","Official IR provider page and JS-driven list"
"AXP","American Express Company","ir_press_releases_archive","https://ir.americanexpress.com/news-events/press-releases/default.aspx","Official IR news archive with dated release pages and full text.","yes","yes","yes","Official IR provider page"
"AXP","American Express Company","financial_reports_archive","https://ir.americanexpress.com/investor-relations/financial-documents-and-reports/default.aspx","Official financial documents hub for quarterly and annual materials.","yes","yes","yes","Good for earnings releases and annual documents"
"AXP","American Express Company","investor_presentations_archive","https://ir.americanexpress.com/news-events/events-and-presentations/default.aspx","Official events and presentations archive with dated decks webcasts and transcripts.","yes","yes","yes","Useful for investor event materials"
"BA","The Boeing Company","ir_press_releases_archive","https://investors.boeing.com/investors/news/default.aspx","Official Boeing IR news archive with dated release detail pages and full text.","yes","yes","no","Official company IR page"
"BA","The Boeing Company","financial_reports_archive","https://investors.boeing.com/investors/reports/","Official reports hub linking quarterly reports annual reports and SEC filings.","yes","yes","no","Useful backup for older financial periods"
"BA","The Boeing Company","investor_presentations_archive","https://investors.boeing.com/investors/events-presentations/","Official events and presentations archive with dated earnings calls and presentations.","yes","yes","no","Good for event-driven datasets"
"CAT","Caterpillar Inc.","earnings_results_archive","https://investors.caterpillar.com/financials/quarterly-results/default.aspx","Official quarterly results archive with dated releases and presentations.","yes","yes","no","Strong official earnings source"
"CAT","Caterpillar Inc.","investor_presentations_archive","https://investors.caterpillar.com/events-presentations/default.aspx","Official events and presentations archive with dated conference materials.","yes","yes","no","Useful for presentations and event timing"
"CAT","Caterpillar Inc.","investor_relations_hub","https://investors.caterpillar.com/overview/default.aspx","Overview page exposing news releases quarterly results and presentations from the same official IR site.","yes","yes","no","Good discovery page if crawling multiple source types"
"CRM","Salesforce Inc.","ir_press_releases_archive","https://investor.salesforce.com/news/default.aspx","Official Salesforce investor news archive with dated detail pages.","yes","yes","no","Official IR page"
"CRM","Salesforce Inc.","earnings_results_archive","https://investor.salesforce.com/financials/quarterly-results/","Official quarterly results hub with earnings materials and dated filings.","yes","yes","no","Good fit for quarterly results"
"CRM","Salesforce Inc.","investor_presentations_archive","https://investor.salesforce.com/events-and-presentations/default.aspx","Official investor events and presentations archive with webcast and deck links.","yes","yes","no","Useful for conference and earnings materials"
"CSCO","Cisco Systems Inc.","ir_press_releases_archive","https://investor.cisco.com/news/default.aspx","Official Cisco IR news archive with dated release pages.","yes","yes","no","Official IR page"
"CSCO","Cisco Systems Inc.","earnings_results_archive","https://investor.cisco.com/financials/quarterly-results/default.aspx","Official quarterly results page with dated earnings releases and transcripts. Search results showed at least 2020 materials on-page.","yes","yes","no","Solid source for earnings backfill"
"CSCO","Cisco Systems Inc.","investor_presentations_archive","https://investor.cisco.com/events-and-presentations/default.aspx","Official events and presentations archive with dated earnings and conference materials.","yes","yes","no","Useful for slide decks and webcast metadata"
"CVX","Chevron Corporation","investor_relations_hub","https://www.chevron.com/investors","Official Chevron investor relations hub covering financials events and news. Strong official source for recent history.","yes","yes","no","Use together with reports and events pages"
"CVX","Chevron Corporation","investor_presentations_archive","https://www.chevron.com/investors/events-presentations","Official investor events and presentations page with dated materials.","yes","yes","no","Useful for earnings calls and investor day materials"
"CVX","Chevron Corporation","financial_reports_archive","https://www.chevron.com/investors/reports-and-filings","Official reports and filings hub for annual and statutory materials.","yes","yes","no","Good backup source for older train windows"
"DIS","The Walt Disney Company","ir_press_releases_archive","https://investors.thewaltdisneycompany.com/news/default.aspx","Official Disney IR news archive. Search results show dated entries and year selection.","yes","yes","yes","Official IR provider page with JS-driven year filter"
"DIS","The Walt Disney Company","investor_presentations_archive","https://investors.thewaltdisneycompany.com/events-and-presentations/default.aspx","Official Disney events and presentations archive with archived events and webcast materials.","yes","yes","yes","Official IR provider page with JS-driven year filter"
"DIS","The Walt Disney Company","investor_relations_hub","https://investors.thewaltdisneycompany.com/","Official IR hub linking news quarterly results annual reports and events.","yes","yes","yes","Useful discovery page for adjacent archives"
"GS","The Goldman Sachs Group Inc.","ir_press_releases_archive","https://www.goldmansachs.com/pressroom","Official Goldman Sachs pressroom with dated firm announcements and press releases.","yes","yes","no","Official company press page"
"GS","The Goldman Sachs Group Inc.","financial_reports_archive","https://www.goldmansachs.com/investor-relations/financials","Official investor financials page with earnings releases results and annual documents.","yes","yes","no","Good source for earnings-related materials"
