ticker,company,source_type,url,coverage_note,has_dates,has_full_text,needs_js,notes,canonical_url,is_new_vs_previous,http_status,final_url,content_type,title_hint,fetch_error,vendor_profile,q4_years_2010_2023,q4_has_train,q4_has_oos,q4_year_endpoint_status,q4_error,likely_value,review_note
AAPL,Apple Inc.,company_news_archive,https://www.apple.com/newsroom/archive/,Official Apple Newsroom archive; paginated archive includes 2010-era dated press releases and OOS-period releases.,yes,yes,no,Primary Apple source for dated full-text company/product releases.,https://www.apple.com/newsroom/archive/,no,200,https://www.apple.com/newsroom/archive/,text/html;charset=utf-8,All Topics Archive - Apple,,static_html_or_custom,,no,no,404,,medium_static_duplicate,Accessible without JS; useful for static archive discovery.
AAPL,Apple Inc.,ir_home_earnings_hub,https://investor.apple.com/investor-relations/default.aspx,Official Apple IR hub with current quarterly-result press releases and webcasts; use with dated pages surfaced from the hub.,yes,yes,yes,Good for current/OOS style earnings links; combine with Newsroom and SEC filings for older history.,https://investor.apple.com/investor-relations/default.aspx,no,200,https://investor.apple.com/investor-relations/default.aspx,text/html; charset=utf-8,Investor Relations - Apple,,q4_or_q4_like,,no,no,200,,medium_browser_or_vendor,Accessible but likely JS/vendor page; useful if adapter exists.
AAPL,Apple Inc.,product_news_archive,https://www.apple.com/newsroom/archive/iphone/,Official Apple iPhone archive with dated product/company releases; useful for major product news around Train/OOS dates.,yes,yes,no,Use as supplemental Apple product-news source; not a financial-results archive.,https://www.apple.com/newsroom/archive/iphone/,yes,200,https://www.apple.com/newsroom/archive/iphone/,text/html;charset=utf-8,iPhone Archive - Apple,,static_html_or_custom,,no,no,404,,high_static_candidate,Accessible without JS; useful for static archive discovery.
AAPL,Apple Inc.,sec_filings_archive,https://investor.apple.com/investor-relations/sec-filings/,Official Apple SEC filings archive with dated annual and quarterly filings; useful back before 2010 and through OOS.,yes,yes,yes,Full filing documents; use accession/detail pages for stable URLs.,https://investor.apple.com/investor-relations/sec-filings/,yes,403,https://investor.apple.com/investor-relations/sec-filings/,text/html; charset=UTF-8,Just a moment...,,cloudflare_challenge,,no,no,200,,medium_duplicate_sec,"Official filings hub, but SEC EDGAR is already cleaner for PIT filing ingestion."
AMGN,Amgen Inc.,annual_reports,https://investors.amgen.com/financials/annual-reports/,Official Amgen annual-report archive with dated reports and related earnings materials.,yes,yes,yes,Use for annual full text and to fill older Train-period coverage.,https://investors.amgen.com/financials/annual-reports/,yes,,,,,"ReadTimeout: HTTPSConnectionPool(host='investors.amgen.com', port=443): Read timed out. (read timeout=8)",fetch_problem,,no,no,,"ReadTimeout: HTTPSConnectionPool(host='investors.amgen.com', port=443): Read timed out. (read timeout=8)",low_recheck,Fetch failed or unstable.
AMGN,Amgen Inc.,investor_presentations,https://investors.amgen.com/news-and-events/presentations/,Official Amgen presentation archive with dated earnings and investor presentations.,yes,yes,yes,PDF presentation text is useful for earnings-event context.,https://investors.amgen.com/news-and-events/presentations/,yes,,,,,"ReadTimeout: HTTPSConnectionPool(host='investors.amgen.com', port=443): Read timed out. (read timeout=8)",fetch_problem,,no,no,,"ReadTimeout: HTTPSConnectionPool(host='investors.amgen.com', port=443): Read timed out. (read timeout=8)",low_recheck,Fetch failed or unstable.
AMGN,Amgen Inc.,ir_press_releases,https://investors.amgen.com/news-and-events/press-releases/,Official Amgen IR press-release archive with dated release pages; visible archive currently emphasizes 2022 onward.,yes,yes,yes,Good for OOS and recent training years; check older releases via detail search/SEC if needed.,https://investors.amgen.com/news-and-events/press-releases/,no,,,,,"ReadTimeout: HTTPSConnectionPool(host='investors.amgen.com', port=443): Read timed out. (read timeout=8)",fetch_problem,,no,no,,"ReadTimeout: HTTPSConnectionPool(host='investors.amgen.com', port=443): Read timed out. (read timeout=8)",low_recheck,Fetch failed or unstable.
AMGN,Amgen Inc.,quarterly_earnings,https://investors.amgen.com/financials/quarterly-earnings/,"Official Amgen quarterly earnings page with dated earnings releases, presentations and webcast links.",yes,yes,yes,Best Amgen source for earnings releases/presentations around split dates.,https://investors.amgen.com/financials/quarterly-earnings/,no,,,,,"ReadTimeout: HTTPSConnectionPool(host='investors.amgen.com', port=443): Read timed out. (read timeout=8)",fetch_problem,,no,no,,"ReadTimeout: HTTPSConnectionPool(host='investors.amgen.com', port=443): Read timed out. (read timeout=8)",low_recheck,Fetch failed or unstable.
AMZN,Amazon.com Inc.,annual_reports_shareholder_letters,https://ir.aboutamazon.com/annual-reports-proxies-and-shareholder-letters/default.aspx,"Official Amazon archive for annual reports, proxies and shareholder letters; useful back through 2010-era filings.",yes,yes,yes,Full annual reports and letters; good long-history supplement.,https://ir.aboutamazon.com/annual-reports-proxies-and-shareholder-letters/default.aspx,yes,403,https://ir.aboutamazon.com/annual-reports-proxies-and-shareholder-letters/default.aspx,text/html; charset=UTF-8,Just a moment...,,cloudflare_challenge,2015|2016|2017|2018|2019|2020|2021|2022|2023,yes,yes,200,,high_q4_feed,Public Q4 feed exposes dated archive years; crawler can ingest via q4 adapter.
AMZN,Amazon.com Inc.,investor_events,https://ir.aboutamazon.com/events/default.aspx,Official Amazon IR events page with dated events and webcasts/presentations.,yes,yes,yes,Use event dates to align with split; includes earnings calls and investor events.,https://ir.aboutamazon.com/events/default.aspx,yes,403,https://ir.aboutamazon.com/events/default.aspx,text/html; charset=UTF-8,Just a moment...,,cloudflare_challenge,2015|2016|2017|2018|2019|2020|2021|2022|2023,yes,yes,200,,high_q4_feed,Public Q4 feed exposes dated archive years; crawler can ingest via q4 adapter.
