ticker,company,source_type,url,coverage_note,has_dates,has_full_text,needs_js,notes,canonical_url,is_new_vs_previous_review,http_status,final_url,content_type,title_hint,fetch_error,vendor_profile,vendor_recommendation,q4_year_endpoint_status,q4_years_2010_2023,q4_has_train,q4_has_oos,q4_error,likely_value
AAPL,Apple Inc.,company_news_archive,https://www.apple.com/newsroom/archive/,Apple official newsroom archive with dated items and full text. Best for product and corporate news and especially useful from the mid-2010s onward.,yes,yes,no,Official company newsroom archive,https://www.apple.com/newsroom/archive/,no,200,https://www.apple.com/newsroom/archive/,text/html;charset=utf-8,All Topics Archive - Apple,,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,,,no,no,,high_static_or_wp_candidate
AAPL,Apple Inc.,investor_relations_hub,https://investor.apple.com/,Official IR hub linking to quarterly results annual reports and filings. Strong support for 2021-2023 and useful for older financial backfill.,yes,yes,no,Official Apple investor relations hub,https://investor.apple.com/,yes,200,https://investor.apple.com/investor-relations/default.aspx,text/html; charset=utf-8,Investor Relations - Apple,,q4_or_q4_like,Discover Q4 module/API parameters or use browser network capture to identify JSON endpoints.,200,,no,no,,medium_vendor_or_browser
AAPL,Apple Inc.,sec_filings_archive,https://investor.apple.com/sec-filings/default.aspx,Official SEC filings archive for older train coverage when newsroom depth is not enough.,yes,yes,no,Good backup source for strict financial-history needs,https://investor.apple.com/sec-filings/default.aspx,yes,403,https://investor.apple.com/sec-filings/default.aspx,text/html; charset=UTF-8,Just a moment...,,cloudflare_challenge,Prefer alternate official endpoint; otherwise use manual/browser pass without attempting bypass.,200,,no,no,,medium_duplicate_sec
AMGN,Amgen Inc.,earnings_results_archive,https://investors.amgen.com/financials/quarterly-earnings/,Official quarterly earnings hub with dated releases presentations and filings.,yes,yes,no,Good fit for earnings-event extraction,https://investors.amgen.com/financials/quarterly-earnings/,no,,,,,"ReadTimeout: HTTPSConnectionPool(host='investors.amgen.com', port=443): Read timed out. (read timeout=8)",fetch_problem,Recheck with requests/certifi/curl fallback and replace if still blocked.,,,no,no,,low_recheck
AMGN,Amgen Inc.,investor_presentations_archive,https://investors.amgen.com/news-and-events/presentations/,Official presentations archive with dated decks including earnings presentations.,yes,yes,no,Useful for slide decks and conference materials,https://investors.amgen.com/news-and-events/presentations/,no,,,,,"ReadTimeout: HTTPSConnectionPool(host='investors.amgen.com', port=443): Read timed out. (read timeout=8)",fetch_problem,Recheck with requests/certifi/curl fallback and replace if still blocked.,,,no,no,,low_recheck
AMGN,Amgen Inc.,ir_press_releases_archive,https://investors.amgen.com/news-and-events/press-releases/,Official IR press release archive with dated release pages and full text.,yes,yes,no,Official IR page,https://investors.amgen.com/news-and-events/press-releases/,no,,,,,"ReadTimeout: HTTPSConnectionPool(host='investors.amgen.com', port=443): Read timed out. (read timeout=8)",fetch_problem,Recheck with requests/certifi/curl fallback and replace if still blocked.,,,no,no,,low_recheck
AMZN,Amazon.com Inc.,annual_reports_archive,https://ir.aboutamazon.com/annual-reports-proxies-and-shareholder-letters/default.aspx,Official annual reports proxy statements and shareholder letters archive. Useful backup for older train years.,yes,yes,yes,Official IR provider page and JS-driven list,https://ir.aboutamazon.com/annual-reports-proxies-and-shareholder-letters/default.aspx,no,403,https://ir.aboutamazon.com/annual-reports-proxies-and-shareholder-letters/default.aspx,text/html; charset=UTF-8,Just a moment...,,cloudflare_challenge,Prefer alternate official endpoint; otherwise use manual/browser pass without attempting bypass.,200,2023|2022|2021|2020|2019|2018|2017|2016|2015,yes,yes,,low_blocked_unless_feed
AMZN,Amazon.com Inc.,earnings_results_archive,https://ir.aboutamazon.com/quarterly-results/default.aspx,Official quarterly results hub with dated earnings materials and historical quarters.,yes,yes,yes,Official IR provider page and JS-driven list,https://ir.aboutamazon.com/quarterly-results/default.aspx,no,403,https://ir.aboutamazon.com/quarterly-results/default.aspx,text/html; charset=UTF-8,Just a moment...,,cloudflare_challenge,Prefer alternate official endpoint; otherwise use manual/browser pass without attempting bypass.,200,2023|2022|2021|2020|2019|2018|2017|2016|2015,yes,yes,,low_blocked_unless_feed
AMZN,Amazon.com Inc.,ir_press_releases_archive,https://ir.aboutamazon.com/news-release/default.aspx,Official Amazon IR press release archive with dated release detail pages. Useful for corporate and financial event history.,yes,yes,yes,Official IR provider page and JS-driven list,https://ir.aboutamazon.com/news-release/default.aspx,no,403,https://ir.aboutamazon.com/news-release/default.aspx,text/html; charset=UTF-8,Just a moment...,,cloudflare_challenge,Prefer alternate official endpoint; otherwise use manual/browser pass without attempting bypass.,200,2023|2022|2021|2020|2019|2018|2017|2016|2015,yes,yes,,low_blocked_unless_feed
AXP,American Express Company,financial_reports_archive,https://ir.americanexpress.com/investor-relations/financial-documents-and-reports/default.aspx,Official financial documents hub for quarterly and annual materials.,yes,yes,yes,Good for earnings releases and annual documents,https://ir.americanexpress.com/investor-relations/financial-documents-and-reports/default.aspx,yes,404,https://ir.americanexpress.com/investor-relations/financial-documents-and-reports/default.aspx,text/html; charset=utf-8,Page Not Found,,q4_or_q4_like,Discover Q4 module/API parameters or use browser network capture to identify JSON endpoints.,200,2023|2022|2021|2020|2019|2018,yes,yes,,high_q4_feed
