ticker,company,source_type,source_type_raw,url,canonical_url,coverage_note,has_dates,has_full_text,needs_js,notes,source_input_file,duplicate_input_rows,review_likely_value,review_vendor_profile,review_http_status,review_q4_years_2010_2023,crawler_grade,robots_policy,dedupe_key
AMZN,Amazon.com Inc.,company_earnings_archive,earnings_results_archive|quarterly_results,https://ir.aboutamazon.com/quarterly-results/default.aspx,https://ir.aboutamazon.com/quarterly-results/default.aspx,Official Amazon quarterly results archive; includes dated earnings releases and financial materials. | Official quarterly results hub with dated earnings materials and historical quarters.,yes,yes,yes,Best Amazon source for earnings releases within Train and OOS windows. | Official IR provider page and JS-driven list,deep_research_report_10_official_ir_sources.csv|official_ir_sources_29_dow_tickers.csv,2,high_q4_feed,cloudflare_challenge,403,2015|2016|2017|2018|2019|2020|2021|2022|2023,crawler_ready,Use official company pages; respect robots and rate limits.,AMZN|https://ir.aboutamazon.com/quarterly-results/default.aspx
AMZN,Amazon.com Inc.,company_financial_report_archive,annual_reports_archive|annual_reports_shareholder_letters,https://ir.aboutamazon.com/annual-reports-proxies-and-shareholder-letters/default.aspx,https://ir.aboutamazon.com/annual-reports-proxies-and-shareholder-letters/default.aspx,"Official Amazon archive for annual reports, proxies and shareholder letters; useful back through 2010-era filings. | Official annual reports proxy statements and shareholder letters archive. Useful backup for older train years.",yes,yes,yes,Full annual reports and letters; good long-history supplement. | Official IR provider page and JS-driven list,deep_research_report_10_official_ir_sources.csv|official_ir_sources_29_dow_tickers.csv,2,high_q4_feed,cloudflare_challenge,403,2015|2016|2017|2018|2019|2020|2021|2022|2023,crawler_ready,Use official company pages; respect robots and rate limits.,AMZN|https://ir.aboutamazon.com/annual-reports-proxies-and-shareholder-letters/default.aspx
AMZN,Amazon.com Inc.,company_presentation_archive,investor_events,https://ir.aboutamazon.com/events/default.aspx,https://ir.aboutamazon.com/events/default.aspx,Official Amazon IR events page with dated events and webcasts/presentations.,yes,yes,yes,Use event dates to align with split; includes earnings calls and investor events.,official_ir_sources_29_dow_tickers.csv,1,high_q4_feed,cloudflare_challenge,403,2015|2016|2017|2018|2019|2020|2021|2022|2023,crawler_ready,Use official company pages; respect robots and rate limits.,AMZN|https://ir.aboutamazon.com/events/default.aspx
AMZN,Amazon.com Inc.,company_press_release_archive,ir_press_releases|ir_press_releases_archive,https://ir.aboutamazon.com/news-release/default.aspx,https://ir.aboutamazon.com/news-release/default.aspx,Official Amazon IR news-release archive with dated full release pages. | Official Amazon IR press release archive with dated release detail pages. Useful for corporate and financial event history.,yes,yes,yes,Primary official source for Amazon financial/company releases. | Official IR provider page and JS-driven list,deep_research_report_10_official_ir_sources.csv|official_ir_sources_29_dow_tickers.csv,2,high_q4_feed,cloudflare_challenge,403,2015|2016|2017|2018|2019|2020|2021|2022|2023,crawler_ready,Use official company pages; respect robots and rate limits.,AMZN|https://ir.aboutamazon.com/news-release/default.aspx
AXP,American Express Company,company_financial_report_archive,annual_reports_proxy,https://ir.americanexpress.com/financials/annual-reports-and-proxy-statements/default.aspx,https://ir.americanexpress.com/financials/annual-reports-and-proxy-statements/default.aspx,Official AXP annual reports and proxy statements; visible archive covers 2014 onward and likely more through filters.,yes,yes,yes,Good for annual full-text reporting; use SEC page for earlier 2010-2013 annual/quarterly coverage if annual page is incomplete.,official_ir_sources_29_dow_tickers.csv,1,high_q4_feed,q4_or_q4_like,200,2018|2019|2020|2021|2022|2023,crawler_ready,Use official company pages; respect robots and rate limits.,AXP|https://ir.americanexpress.com/financials/annual-reports-and-proxy-statements/default.aspx
AXP,American Express Company,company_financial_report_archive,financial_reports_archive,https://ir.americanexpress.com/investor-relations/financial-documents-and-reports/default.aspx,https://ir.americanexpress.com/investor-relations/financial-documents-and-reports/default.aspx,Official financial documents hub for quarterly and annual materials.,yes,yes,yes,Good for earnings releases and annual documents,deep_research_report_10_official_ir_sources.csv,1,high_q4_feed,q4_or_q4_like,404,2018|2019|2020|2021|2022|2023,crawler_ready,Use official company pages; respect robots and rate limits.,AXP|https://ir.americanexpress.com/investor-relations/financial-documents-and-reports/default.aspx
AXP,American Express Company,company_news_archive,ir_news_archive,https://ir.americanexpress.com/news/investor-relations-news/default.aspx,https://ir.americanexpress.com/news/investor-relations-news/default.aspx,Official American Express IR news archive with dated full release pages.,yes,yes,yes,Primary official news/earnings-release archive.,official_ir_sources_29_dow_tickers.csv,1,high_q4_feed,q4_or_q4_like,200,2018|2019|2020|2021|2022|2023,crawler_ready,Use official company pages; respect robots and rate limits.,AXP|https://ir.americanexpress.com/news/investor-relations-news/default.aspx
AXP,American Express Company,company_presentation_archive,investor_events,https://ir.americanexpress.com/events/default.aspx,https://ir.americanexpress.com/events/default.aspx,"Official AXP events archive with dated earnings calls, investor days and presentation links.",yes,yes,yes,Past events include older investor days and earnings-call materials.,official_ir_sources_29_dow_tickers.csv,1,high_q4_feed,q4_or_q4_like,200,2018|2019|2020|2021|2022|2023,crawler_ready,Use official company pages; respect robots and rate limits.,AXP|https://ir.americanexpress.com/events/default.aspx
AXP,American Express Company,company_presentation_archive,investor_presentations_archive,https://ir.americanexpress.com/news-events/events-and-presentations/default.aspx,https://ir.americanexpress.com/news-events/events-and-presentations/default.aspx,Official events and presentations archive with dated decks webcasts and transcripts.,yes,yes,yes,Useful for investor event materials,deep_research_report_10_official_ir_sources.csv,1,high_q4_feed,q4_or_q4_like,404,2018|2019|2020|2021|2022|2023,crawler_ready,Use official company pages; respect robots and rate limits.,AXP|https://ir.americanexpress.com/news-events/events-and-presentations/default.aspx
AXP,American Express Company,company_press_release_archive,ir_press_releases_archive,https://ir.americanexpress.com/news-events/press-releases/default.aspx,https://ir.americanexpress.com/news-events/press-releases/default.aspx,Official IR news archive with dated release pages and full text.,yes,yes,yes,Official IR provider page,deep_research_report_10_official_ir_sources.csv,1,high_q4_feed,q4_or_q4_like,404,2018|2019|2020|2021|2022|2023,crawler_ready,Use official company pages; respect robots and rate limits.,AXP|https://ir.americanexpress.com/news-events/press-releases/default.aspx
