ticker,company,source_type,url,crawler_grade,vendor_profile,vendor_recommendation,accepted_documents,candidate_links_seen,source_http_status,priority
CSCO,Cisco Systems Inc.,company_earnings_archive,https://newsroom.cisco.com/earningsandacquisitions,crawler_ready,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,8,200,medium_source_specific_adapter
GS,The Goldman Sachs Group Inc.,company_earnings_archive,https://www.goldmansachs.com/investor-relations/financials/quarterly-earnings-releases,crawler_ready,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,6,200,medium_source_specific_adapter
GS,The Goldman Sachs Group Inc.,company_financial_report_archive,https://www.goldmansachs.com/investor-relations/financials,crawler_ready,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,8,200,medium_source_specific_adapter
CSCO,Cisco Systems Inc.,company_press_release_archive,https://newsroom.cisco.com/c/r/newsroom/en/us/press-releases.html,crawler_ready,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,8,200,medium_source_specific_adapter
DIS,The Walt Disney Company,company_press_release_archive,https://thewaltdisneycompany.com/press-releases/,crawler_ready,q4_or_q4_like,Discover Q4 module/API parameters or use browser network capture to identify JSON endpoints.,0,8,200,medium_source_specific_adapter
BA,The Boeing Company,company_press_release_archive,https://boeing.mediaroom.com/news-releases-statements,crawler_ready,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,8,200,medium_source_specific_adapter
AAPL,Apple Inc.,company_press_release_archive,https://www.apple.com/newsroom/archive/,crawler_ready,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,8,200,medium_source_specific_adapter
GS,The Goldman Sachs Group Inc.,company_presentation_archive,https://www.goldmansachs.com/investor-relations/presentations,crawler_ready,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,6,200,medium_source_specific_adapter
AAPL,Apple Inc.,company_press_release_archive,https://www.apple.com/newsroom/archive/iphone/,crawler_ready,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,8,200,medium_source_specific_adapter
HD,The Home Depot Inc.,company_earnings_archive,https://ir.homedepot.com/financial-reports/quarterly-earnings/2025,crawler_ready,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,8,200,medium_source_specific_adapter
GS,The Goldman Sachs Group Inc.,company_financial_report_archive,https://www.goldmansachs.com/investor-relations/financials/annual-reports,crawler_ready,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,7,200,medium_source_specific_adapter
GS,The Goldman Sachs Group Inc.,company_press_release_archive,https://www.goldmansachs.com/pressroom,crawler_ready,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,8,200,medium_source_specific_adapter
HD,The Home Depot Inc.,company_earnings_archive,https://ir.homedepot.com/financial-reports/quarterly-earnings/archive,crawler_ready,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,8,200,medium_source_specific_adapter
HD,The Home Depot Inc.,company_financial_report_archive,https://ir.homedepot.com/financial-reports/annual-reports/archive,crawler_ready,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,8,200,medium_source_specific_adapter
HD,The Home Depot Inc.,company_presentation_archive,https://ir.homedepot.com/events-and-presentations,crawler_ready,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,8,200,medium_source_specific_adapter
HD,The Home Depot Inc.,company_press_release_archive,https://ir.homedepot.com/news-releases/2025,crawler_ready,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,8,200,medium_source_specific_adapter
HD,The Home Depot Inc.,company_press_release_archive,https://ir.homedepot.com/news-releases/archive,crawler_ready,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,8,200,medium_source_specific_adapter
JNJ,Johnson & Johnson,company_press_release_archive,https://www.jnj.com/media-center/press-releases,crawler_ready,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,200,medium_source_specific_adapter
JPM,JPMorgan Chase & Co.,company_earnings_archive,https://www.jpmorganchase.com/ir/quarterly-earnings,crawler_ready,gcs_web,Use GCS/Web year/category pagination; validate detail pages after URL discovery.,0,4,200,medium_source_specific_adapter
INTC,Intel Corporation,company_earnings_archive,https://www.intc.com/financial-info/financial-results,crawler_ready,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,8,200,medium_source_specific_adapter
IBM,International Business Machines Corporation,company_press_release_archive,https://newsroom.ibm.com/announcements,crawler_ready,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,8,200,medium_source_specific_adapter
